kÛd obce;n·zev obce;voliËi v seznamu;vydanÈ ob·lky;platnÈ hlasy;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;»esk· strana n·rodnÏ soci·lnÌ;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
567931;DolnÌ Z·lezly;462;316;314;39;0;0;14;21;35;4;1;2;0;3;28;0;14;102;0;0;6;0;2;1;1;36;5
567957;Habrovany;182;101;100;5;0;0;4;2;19;0;0;3;2;0;1;0;2;42;0;1;2;0;1;1;1;14;0
567973;Homole u Panny;315;199;197;25;0;1;12;2;22;1;1;1;0;0;19;0;5;86;0;0;1;0;1;0;0;20;0
568007;Chaba¯ovice;2†014;1†120;1†111;109;1;4;60;47;105;22;15;12;1;6;80;1;34;410;1;3;30;1;5;2;1;151;10
568015;Chlumec;3†591;2†064;2†054;189;3;0;122;115;188;25;20;36;1;7;175;2;79;786;3;11;21;0;18;2;9;222;20
568023;Chuderov;832;523;520;84;1;0;29;22;36;6;2;10;1;2;49;0;26;169;2;1;9;0;2;1;1;67;0
568058;Libouchec;1†486;903;899;103;1;3;55;33;103;19;10;17;1;3;75;4;9;311;0;3;4;0;4;0;2;136;3
568091;MalÈ B¯ezno;442;229;228;27;0;0;14;9;15;1;1;2;0;0;17;0;4;108;0;0;2;0;0;1;0;26;1
568104;MaleËov;650;400;395;38;0;0;13;11;59;14;2;3;0;10;33;0;26;128;0;2;9;0;1;1;1;40;4
568147;Petrovice;569;302;300;22;0;0;9;13;44;7;2;2;1;1;31;1;8;108;1;3;3;0;3;0;3;33;5
568155;Povrly;1†827;974;972;86;1;0;63;37;89;14;11;10;1;1;77;3;35;375;15;2;8;0;7;2;6;122;7
530620;P¯estanov;305;229;228;30;0;0;11;10;17;2;0;5;0;1;17;0;5;92;0;0;3;0;2;1;2;29;1
546186;Ryjice;198;131;130;8;0;0;10;9;18;0;2;0;0;0;7;0;2;35;0;1;1;0;0;2;2;33;0
568201;ÿehlovice;1†114;641;638;71;4;2;28;25;60;6;6;1;3;1;52;1;20;243;0;1;16;0;4;0;5;87;2
546925;Stebno;395;228;227;11;0;0;9;11;27;4;1;0;1;0;19;0;0;103;0;0;1;0;1;1;0;37;1
568287;Taöov;107;74;74;5;0;0;15;1;3;0;0;0;0;0;4;0;2;35;0;0;0;0;0;0;0;9;0
568295;Telnice;574;380;378;19;0;1;9;12;35;6;2;3;2;1;34;0;13;162;0;3;2;0;0;2;1;67;4
568309;Tis·;761;520;516;101;2;0;20;23;42;17;2;7;0;4;63;1;41;125;0;3;9;0;4;0;1;51;0
553697;Trmice;2†443;939;922;47;4;0;77;92;96;34;13;8;2;4;59;1;17;299;1;4;12;0;3;0;3;143;3
501298;⁄stÌ nad Labem-SevernÌ Terasa;16†092;9†001;8†929;686;12;6;642;376;907;119;47;144;10;59;745;6;310;3†400;7;41;171;2;69;10;43;1†066;51
502081;⁄stÌ nad Labem-NeötÏmice;18†162;7†433;7†382;411;13;8;526;235;724;108;54;85;8;24;607;5;214;2†888;19;33;101;1;64;9;43;1†151;51
502316;⁄stÌ nad Labem-St¯ekov;11†071;6†313;6†280;668;4;3;373;217;514;99;26;90;4;28;620;3;279;2†342;8;21;116;0;42;7;32;749;35
567892;⁄stÌ nad Labem-mÏsto;27†705;15†006;14†928;1†720;17;23;831;613;1†131;331;83;251;21;90;1†605;14;939;5†016;30;34;322;2;138;24;58;1†574;61
568350;VelkÈ B¯ezno;1†794;1†097;1†095;117;3;1;57;37;65;10;11;19;0;0;70;2;48;462;1;0;18;1;13;0;7;151;2
555223;VelkÈ Chvojno;647;406;405;44;0;0;11;19;48;11;5;8;0;1;31;0;17;128;1;1;4;0;3;1;3;69;0
568384;Zubrnice;200;138;137;16;0;0;11;8;23;1;2;1;1;0;11;0;6;39;0;0;1;0;0;0;4;13;0
